,data_privacy_computer_weekly,data_privacy_cso_online,data_privacy_dark_reading,data_privacy_euractiv.com,data_privacy_help_net_security,data_privacy_information_security_buzz,data_privacy_lexology,data_privacy_national_law_review,data_privacy_techopedia,data_privacy_tech_monitor
data_privacy_computer_weekly,0.0,45.0,42.5,50.0,17.5,55.0,46.666666666666664,37.5,40.0,20.0
data_privacy_cso_online,45.0,0.0,42.5,40.0,17.5,45.0,40.0,43.333333333333336,33.333333333333336,22.0
data_privacy_dark_reading,42.5,42.5,0.0,43.333333333333336,20.0,50.0,36.666666666666664,43.333333333333336,40.0,20.0
data_privacy_euractiv.com,50.0,40.0,43.333333333333336,0.0,16.0,52.0,60.0,32.5,32.5,20.0
data_privacy_help_net_security,17.5,17.5,20.0,16.0,0.0,16.0,25.0,12.5,12.5,16.0
data_privacy_information_security_buzz,55.0,45.0,50.0,52.0,16.0,0.0,60.0,37.5,37.5,20.0
data_privacy_lexology,46.666666666666664,40.0,36.666666666666664,60.0,25.0,60.0,0.0,35.0,20.0,33.333333333333336
data_privacy_national_law_review,37.5,43.333333333333336,43.333333333333336,32.5,12.5,37.5,35.0,0.0,33.333333333333336,12.5
data_privacy_techopedia,40.0,33.333333333333336,40.0,32.5,12.5,37.5,20.0,33.333333333333336,0.0,15.0
data_privacy_tech_monitor,20.0,22.0,20.0,20.0,16.0,20.0,33.333333333333336,12.5,15.0,0.0
